gauge_code,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,nat_region,flag_ind,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,map
13090020,,SAN ONOFRE [13090020],Pluviométrica,Convencional,Activa,Sucre,San Onofre,9.7542,-75.5381,55,5/15/1959,,Lago La Pelona,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,Caribe,Preliminar,9.808,3.584,86.609,9.7542,-75.5381,0.560000002,0.810909092,1,1,1251.258318
13090030,,BERRUGAS [13090030],Pluviométrica,Convencional,Activa,Sucre,San Onofre,9.9103,-75.6006,1,4/15/1974,,Cno Rompedero,Caribe,Atrato - Darién,Río Andágueda,Caribe,Preliminar,38.203,0,61.797,9.9103,-75.6006,0.560000002,0.810909092,1,1,1284.965077
13090040,,CHALAN [13090040],Pluviométrica,Convencional,Activa,Sucre,Chalán,9.5386,-75.3225,100,8/15/1974,,Ay Pechelin,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,Caribe,Preliminar,27.512,7.765,64.723,9.5386,-75.3225,1.338181853,1.770909071,2,2,1359.459486
13090050,,TOLUVIEJO [13090050],Pluviométrica,Convencional,Activa,Sucre,Tolú Viejo,9.438,-75.44,60,3/31/2014 19:00,,0,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,Caribe,Preliminar,13.63,5.077,81.293,9.438,-75.44,3.792727232,4.930909157,7,7,1543.999976
13090060,,PARAISO EL [13090060],Pluviométrica,Convencional,Activa,Sucre,Colosó,9.4739,-75.3708,100,5/15/1986,,Lago Mulas,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,Caribe,Preliminar,27.488,0.072,72.441,9.4739,-75.3708,3.792727232,4.930909157,7,7,1273.192573
13090080,,BELEN HACIENDA [13090080],Pluviométrica,Convencional,Activa,Sucre,San Onofre,9.8194,-75.4103,60,12/15/1978,,Magdalena,Magdalena Cauca,Bajo Magdalena,Canal del Dique margen izquierda,Caribe,Preliminar,0,5.854,94.146,9.8194,-75.4103,6.894545555,11.92000008,16,16,1515.39059
13090110,,PALO ALTO [13090110],Pluviométrica,Convencional,Activa,Sucre,San Onofre,9.8175,-75.4183,50,2/15/1978,,Magdalena,Magdalena Cauca,Bajo Magdalena,Canal del Dique margen izquierda,Caribe,Preliminar,21.24,8.291,70.469,9.8175,-75.4183,6.894545555,11.92000008,16,16,1792.93933
13090230,,PASTORA LA [13090230],Pluviométrica,Convencional,Activa,Sucre,Sincelejo,9.2933,-75.4919,58,11/15/1990,,Lago La Pastora,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,Caribe,Preliminar,55.573,0.036,44.391,9.2933,-75.4919,3.792727232,4.930909157,7,7,1628.429007
14010010,Definitivo,PIOJO [14010010],Pluviográfica,Convencional,Activa,Atlantico,Piojó,10.7461,-75.108,320,4/15/1962,,Cno Mono,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,Caribe,Definitivo,28.933,4.838,66.229,10.7461,-75.108,3.934545517,5.847272873,8,8,1420.054194
14010020,Definitivo,HIBACHARO [14010020],Pluviométrica,Convencional,Activa,Atlantico,Piojó,10.7219,-75.1401,80,1/15/1963,,Guatapuri,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,Caribe,Definitivo,80.958,16.724,2.318,10.7219,-75.1401,3.934545517,5.847272873,8,8,1315.178859
14010050,,CANAVERAL [14010050],Pluviométrica,Convencional,Activa,Bolívar,Turbaco,10.405,-75.3375,75,5/15/1974,,Manaure,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,Caribe,Preliminar,0,6.976,93.024,10.405,-75.3375,1.301818132,1.50181818,2,2,882.6551128
14010100,,PINTADA LA [14010100],Pluviométrica,Convencional,Activa,Atlantico,Tubará,10.9551,-74.995,200,12/15/1992,,Porciosa,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,Caribe,Preliminar,69.717,27.571,2.712,10.9551,-74.995,4.145454407,5.236363411,6,6,1120.479142
